村志代码 Gazetteer Code,村志书名 Gazetteer Title,Is the data available?,Start Year,End Year,Data,Category,Division1,Division2,Division3,Division4,Subdivision
0057,尧治河村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0057,尧治河村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0057,尧治河村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0057,尧治河村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0043,草厂村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0043,草厂村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0043,草厂村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0043,草厂村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0043,草厂村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0043,草厂村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0043,草厂村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0043,草厂村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0043,草厂村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0043,草厂村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0043,草厂村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0043,草厂村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0058,袁家沟村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0058,袁家沟村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0058,袁家沟村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0058,袁家沟村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0058,袁家沟村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0058,袁家沟村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0058,袁家沟村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0058,袁家沟村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0058,袁家沟村志,Yes,1978,2008,177,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0058,袁家沟村志,Yes,1978,2008,312,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0058,袁家沟村志,Yes,1978,2008,57,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0058,袁家沟村志,Yes,1978,2008,35,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0063,盘山村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0063,盘山村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0063,盘山村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0063,盘山村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0063,盘山村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0063,盘山村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0063,盘山村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0063,盘山村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0063,盘山村志,Yes,1949,2009,4400,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0063,盘山村志,Yes,1949,2009,150,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0063,盘山村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0063,盘山村志,Yes,1963,2010,99,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0064,三路居村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0064,三路居村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0064,三路居村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0064,三路居村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0064,三路居村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0064,三路居村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0064,三路居村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0064,三路居村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0064,三路居村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0064,三路居村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0064,三路居村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0064,三路居村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0059,云水村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0059,云水村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0059,云水村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0059,云水村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0059,云水村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0059,云水村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0059,云水村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0059,云水村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0059,云水村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0059,云水村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0059,云水村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0059,云水村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0060,平地村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0060,平地村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0060,平地村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0060,平地村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0060,平地村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
